	mhe_zhang	hiv_noguerajulian	hiv_lozupone	t1d_alkanani	edd_singh	crc_chen	asd_son	cdi_youngster	crc_zeller	ra_scher	ibd_papa	hiv_dinh	ob_zhu	crc_baxter	ob_turnbaugh	crc_zackular	cdi_schubert	par_scheperjans	crc_wang	ibd_willing	ibd_morgan	ibd_gevers	ob_zupancic	nash_zhu	cdi_vincent	ob_ross	t1d_mejialeon	ob_goodrich	asd_kang	nash_wong
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Elizabethkingia		-0.88055190979																												
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium		-0.984342017767												0.856943688291																
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Ornithobacterium									0.778714018093																					
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Planobacterium																						0.790962772758								
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Sediminibacterium																	-0.12838359945													
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter																1.0														
k__Bacteria;p__Candidatus_Saccharibacteria;c__;o__;f__;g__Saccharibacteria_genera_incertae_sedis		-0.0239317279111												0.829981744934		-0.78200289075														
k__Bacteria;p__Cyanobacteria/Chloroplast;c__Chloroplast;o__;f__Chloroplast;g__Streptophyta							0.749570310038		-0.915139888488					0.532523663572		0.78200289075	-0.108081985865					0.83690169443						0.615541725289	0.856985240102	
k__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria;o__;f__Family_I;g__GpI									-0.602200705651																					
k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus														-0.82776880828		-0.881369035681										-0.667152967175				
k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Thermales;f__Thermaceae;g__Thermus																0.78200289075														
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Elusimicrobium		-0.24808986673	0.155605799043																				-0.932148346508				-0.741043364962			
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_1;g__Anaerobacillus								0.731941613375																						
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_1;g__Bacillus								0.731941613375	-0.811285125688					-0.830593552919		-0.93251857492									0.459491611938	-0.667152967175				
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillales_Incertae_Sedis_XI;g__Gemella		0.653711264048			0.0353235749212	0.954176488923		0.929008174948	0.997690923542					0.0542576704316		0.881369035681	0.0303688818692					0.801636895991			0.910856167593			0.212960936615		
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria														-0.674756107342		-0.881369035681										-0.667152967175				
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae_1;g__Brevibacillus									-0.587714577079																					
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae_1;g__Paenibacillus								0.731941613375						0.532523663572								0.790962772758			0.153713973281					
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus								0.731941613375	0.983603283063																					
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus									0.531395330335																					
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Viridibacillus																-0.817272192238														
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Macrococcus																-0.78200289075														
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus		-0.558463067134	0.555221319851	0.131358507581	0.209910730173			0.554014482198	-0.809090682687				0.377201567097	0.0293201288105		-0.78200289075	0.324686576764				0.634095943568	0.521462589518		0.173002768187	0.127164906501	-0.897173911806		0.948335917392		
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia	0.637587428596				0.140684560964				-0.636825132637		0.813782340664			-0.344965858546		1.0						0.308695079148			0.341056595453			0.719248263656		
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia													-0.603642779525									0.790962772758		-0.60476090644	-0.459491611938					
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium									-0.602200705651							0.892775922639	0.0148338486963													
