Dataset,Taxonomic Level,Traita,Taxonomyb,BMI              p valuec,BMI               q valued,Direction of association (Higher in)e,Permutation p valuef,Ag,A 95% CIh,Ci,C 95% CIj,Ek,E 95% CIl,rMZm,rDZn,2*(rMZ-rDZ)o,,,
TwinsUK,OTU,322835,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__,5.3114E-05,0.001005846,Lean,0.4203,0.037765802,(0?0.34),0.178336322,(0?0.3),0.783897876,(0.66?0.89),0.235304849,0.186903462,0.096802774,,,
TwinsUK,OTU,197988,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,6.31857E-05,0.001172159,Lean,0.9395,1.85E-40,(0?0.18),0.065548614,(0?0.16),0.934451386,(0.84?1),0.036606319,0.089152474,-0.10509231,,,
TwinsUK,OTU,313524,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,7.25508E-05,0.001318974,Lean,0.0272,0.170305355,(0?0.29),3.48E-13,(0?0),0.829694645,(0.71?0.96),0.219932203,0.017625096,0.404614214,,,
TwinsUK,OTU,177032,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,8.06477E-05,0.001409783,Lean,0.1526,0.11696897,(0?0.24),0,(0?0.16),0.88303103,(0.76?1),0.135182687,0.036672838,0.197019697,,,
TwinsUK,OTU,199534,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,7.91317E-05,0.001409783,Lean,0.1867,0.084905963,(0?0.21),6.32E-13,(0?0.14),0.915094037,(0.79?1),0.114423906,0.004423828,0.220000155,,,
TwinsUK,OTU,2307779,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,8.27199E-05,0.001418724,Lean,0.0188,0.05090871,(0?0.18),7.08E-11,(0?0.09),0.94909129,(0.82?1),0.128264898,-0.088783858,0.434097513,,,
TwinsUK,OTU,4153054,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.000108848,0.00183227,Lean,0.0504,0.269789201,(0.02?0.38),1.39E-11,(0?0),0.730210799,(0.62?0.85),0.313456919,0.084486536,0.457940766,,,
TwinsUK,OTU,176269,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__,0.000111825,0.001845557,Lean,0.2513,0.131498907,(0?0.28),0.029867079,(0?0.22),0.838634014,(0.72?0.96),0.17645627,0.089819454,0.173273632,,,
TwinsUK,OTU,193769,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus,0.000115728,0.001845557,Obese,0.2008,0.119351436,(0?0.24),7.09E-13,(0?0.17),0.880648564,(0.76?1),0.132188313,0.047264837,0.169846952,,,
TwinsUK,OTU,188966,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__,0.000115346,0.001845557,Lean,0.5898,2.45E-14,(0?0),3.02E-13,(0?0),1,(1?1),-0.030396272,-0.043725757,0.02665897,,,
TwinsUK,OTU,4370941,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.00012388,0.001941498,Lean,0.0014,0.284550124,(0.11?0.4),9.03E-14,(0?0.12),0.715449876,(0.6?0.84),0.353366923,0.037268823,0.6321962,,,
TwinsUK,OTU,836693,k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__; g__; s__,0.000140977,0.002002314,Lean,0.002,0.296746912,(0.12?0.41),1.43E-15,(0?0.12),0.703253088,(0.59?0.83),0.365292524,0.041811291,0.646962467,,,
TwinsUK,Order,k__Bacteria.p__Firmicutes.c__Clostridia.o__SHA.98,NA,0.000140977,0.002002314,Lean,0.002,0.296746912,(0.12?0.41),1.43E-15,(0?0.12),0.703253088,(0.59?0.83),0.365292524,0.041811291,0.646962467,,,
TwinsUK,Family,k__Bacteria.p__Firmicutes.c__Clostridia.o__SHA.98.f__,NA,0.000140977,0.002002314,Lean,0.002,0.296746912,(0.12?0.41),1.43E-15,(0?0.12),0.703253088,(0.59?0.83),0.365292524,0.041811291,0.646962467,,,
TwinsUK,Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__SHA.98.f__.g__,NA,0.000140977,0.002002314,Lean,0.002,0.296746912,(0.12?0.41),1.43E-15,(0?0.12),0.703253088,(0.59?0.83),0.365292524,0.041811291,0.646962467,,,
TwinsUK,OTU,300374,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.000135433,0.002002314,Lean,0.0041,0.274870175,(0.11?0.39),2.69E-27,(0?0),0.725129825,(0.61?0.85),0.362123026,0.00708831,0.710069434,,,
TwinsUK,OTU,44151,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.000133181,0.002002314,Lean,0.2859,0.116145501,(0?0.31),0.061376993,(0?0.23),0.822477506,(0.69?0.95),0.184674182,0.118826206,0.131695952,,,
TwinsUK,OTU,4421273,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.000221164,0.003092888,Lean,0.0593,0.293757816,(0?0.4),2.57E-13,(0?0.26),0.706242184,(0.6?0.82),0.326146848,0.129214741,0.393864214,,,
TwinsUK,OTU,540055,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.000251909,0.003417691,Lean,0.066,0.292364943,(0?0.43),0.023187725,(0?0.28),0.684447331,(0.57?0.82),0.322754901,0.169304811,0.306900179,,,
TwinsUK,OTU,110192,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.000248809,0.003417691,Lean,0.0044,0.106651589,(0?0.23),2.88E-14,(0?0.11),0.893348411,(0.77?1),0.186818034,-0.061588034,0.496812135,,,
TwinsUK,OTU,180473,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.000262983,0.003515461,Lean,0.1323,0.171018443,(0?0.29),9.08E-15,(0?0.19),0.828981557,(0.71?0.96),0.179816293,0.067390036,0.224852515,,,
TwinsUK,OTU,538322,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.000286549,0.003774967,Lean,0.1806,0.184481331,(0?0.31),0.005212514,(0?0.22),0.810306156,(0.69?0.95),0.192157433,0.099581897,0.18515107,,,
TwinsUK,OTU,207487,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__,0.000298181,0.0038721,Lean,0.1373,0.111611171,(0?0.23),1.44E-13,(0?0),0.888388829,(0.77?1),0.142792361,0.016709131,0.252166458,,,
TwinsUK,OTU,185034,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.000310804,0.003979165,Lean,0.7941,7.42E-14,(0?0.21),0.101772767,(0?0.2),0.898227233,(0.78?0.99),0.066853226,0.125903729,-0.118101008,,,
